# E[GeV}   flaux[cm^3/s/GeV^3]
 3.83E+02 1.64E-37
 3.45E+02 1.12E-35
 3.11E+02 3.40E-35
 2.80E+02 7.18E-35
 2.52E+02 1.38E-34
 2.26E+02 2.50E-34
 2.04E+02 4.39E-34
 1.83E+02 7.47E-34
 1.65E+02 1.25E-33
 1.49E+02 2.04E-33
 1.34E+02 3.23E-33
 1.20E+02 5.00E-33
 1.08E+02 7.54E-33
 9.75E+01 1.12E-32
 8.77E+01 1.62E-32
 7.90E+01 2.32E-32
 7.11E+01 3.27E-32
 6.40E+01 4.56E-32
 5.76E+01 6.26E-32
 5.18E+01 8.49E-32
 4.66E+01 1.14E-31
 4.20E+01 1.51E-31
 3.78E+01 1.98E-31
 3.40E+01 2.58E-31
 3.06E+01 3.34E-31
 2.75E+01 4.28E-31
 2.48E+01 5.44E-31
 2.23E+01 6.86E-31
 2.01E+01 8.60E-31
 1.81E+01 1.07E-30
 1.63E+01 1.32E-30
 1.46E+01 1.63E-30
 1.32E+01 1.99E-30
 1.19E+01 2.41E-30
 1.07E+01 2.91E-30
 9.60E+00 3.48E-30
 8.64E+00 4.16E-30
 7.78E+00 4.96E-30
 7.00E+00 5.89E-30
 6.30E+00 6.94E-30
 5.67E+00 8.11E-30
 5.10E+00 9.40E-30
 4.59E+00 1.09E-29
 4.13E+00 1.26E-29
 3.72E+00 1.45E-29
 3.35E+00 1.66E-29
 3.01E+00 1.90E-29
 2.71E+00 2.15E-29
 2.44E+00 2.42E-29
 2.20E+00 2.72E-29
 1.98E+00 3.03E-29
 1.78E+00 3.36E-29
 1.60E+00 3.71E-29
 1.44E+00 4.10E-29
 1.30E+00 4.52E-29
 1.17E+00 4.97E-29
 1.05E+00 5.44E-29
 9.45E-01 5.92E-29
 8.51E-01 6.41E-29
 7.66E-01 6.91E-29
 6.89E-01 7.40E-29
 6.20E-01 7.87E-29
 5.58E-01 8.32E-29
 5.02E-01 8.77E-29
 4.52E-01 9.21E-29
 4.07E-01 9.68E-29
 3.66E-01 1.01E-28
 3.30E-01 1.06E-28
 2.97E-01 1.11E-28
 2.67E-01 1.15E-28
 2.40E-01 1.19E-28
 2.16E-01 1.23E-28
 1.95E-01 1.27E-28
 1.75E-01 1.30E-28
 1.58E-01 1.32E-28
 1.42E-01 1.35E-28
 1.28E-01 1.37E-28
 1.15E-01 1.39E-28
 1.03E-01 1.40E-28
